"","datetime","city","country","shape"
"57269",NA,"aurora","us","changed"
"80098",0008-07-20,"29 palms",NA,"changing"
"37827",NA,"aberdeen","us","changing"
"3867",NA,"abilene","us","changing"
"29470",NA,"abilene","us","changing"
"86034",NA,"abilene","us","changing"
"14978",NA,"abu dhabi (uae)",NA,"changing"
"48264",NA,"accrington&#44 lancashire (uk/england)",NA,"changing"
"10316",NA,"aiken","us","changing"
"15526",0011-03-20,"akron","us","changing"
"88979",0009-09-20,"akron","us","changing"
"15203",NA,"alameda","us","changing"
"63316",NA,"alamogordo","us","changing"
"64489",NA,"albany","us","changing"
"65585",0007-02-20,"albertville","us","changing"
"12261",0001-01-20,"albuquerque","us","changing"
"15065",NA,"albuquerque","us","changing"
"22647",NA,"albuquerque","us","changing"
"66255",NA,"albuquerque","us","changing"
"51808",0006-10-20,"alexanria",NA,"changing"
"36884",NA,"allegany","us","changing"
"50059",NA,"allen","us","changing"
"12929",NA,"alligator alley",NA,"changing"
"21699",NA,"altus afb",NA,"changing"
"34139",0003-01-20,"amarillo","us","changing"
"6811",0010-03-20,"amelia","us","changing"
"17994",NA,"american canyon","us","changing"
"21005",NA,"ames","us","changing"
"12294",0001-01-20,"amityville","us","changing"
"86759",NA,"anacortes","us","changing"
"34118",0003-01-20,"anaheim","us","changing"
"4486",NA,"anchorage","us","changing"
"23878",NA,"anchorage","us","changing"
"76053",NA,"andover","us","changing"
"579",0010-01-19,"ankara (turkey)",NA,"changing"
"21224",0001-02-20,"ann arbor","us","changing"
"60338",0006-07-20,"annapolis","us","changing"
"2456",NA,"anson","us","changing"
"15829",0011-03-20,"anthony","us","changing"
"20061",NA,"antler lake (canada)",NA,"changing"
"36846",NA,"apache junction","us","changing"
"25878",NA,"apalachicola","us","changing"
"68983",0007-04-20,"apalachicola","us","changing"
"82124",0009-12-20,"aptos","us","changing"
"46837",NA,"area 51 (general area; in flight)",NA,"changing"
"17186",0011-06-20,"arizona city","us","changing"
"38302",NA,"arizona city","us","changing"
"32929",0002-06-20,"arkport","us","changing"
"19849",NA,"arlington","us","changing"
"66669",NA,"arlington","us","changing"
"79845",0008-06-20,"arouca (trinidad/tobago)",NA,"changing"
"13250",0011-02-20,"arroyo grande","us","changing"
"15119",NA,"asbury","us","changing"
"79314",0008-04-20,"asheville","us","changing"
"88337",0009-06-20,"asheville","us","changing"
"39893",0004-11-20,"ashland","us","changing"
"46296",0005-01-20,"ashland","us","changing"
"50241",NA,"ashland","us","changing"
"60070",0006-06-20,"ashland","us","changing"
"33329",0002-08-20,"ashnurn",NA,"changing"
"78474",NA,"ashtabula","us","changing"
"86797",NA,"atikokan (canada)","ca","changing"
"12227",0001-01-20,"atlanta","us","changing"
"14316",NA,"atlanta","us","changing"
"27233",0001-04-20,"atlanta","us","changing"
"58353",NA,"atlanta","us","changing"
"65810",NA,"atlantic beach","us","changing"
"77801",NA,"atwater","us","changing"
"75597",NA,"atwater village",NA,"changing"
"14589",NA,"auburn","us","changing"
"30002",NA,"auburn","us","changing"
"40814",NA,"auburn","us","changing"
"40822",NA,"auburn","us","changing"
"87605",0009-03-20,"aulander","us","changing"
"40048",0004-01-19,"aurora","us","changing"
"282",0010-10-20,"austin","us","changing"
"8028",0010-09-20,"austin","us","changing"
"21047",NA,"austin","us","changing"
"29352",NA,"austin","us","changing"
"35740",NA,"austin","us","changing"
"49079",NA,"austin","us","changing"
"77910",NA,"austin","us","changing"
"88803",0009-08-20,"austin","us","changing"
"41254",NA,"austin/florence",NA,"changing"
"9965",NA,"australia",NA,"changing"
"59873",0006-05-20,"australia",NA,"changing"
"57806",NA,"avalon","us","changing"
"4770",NA,"avila beach","us","changing"
"66761",NA,"avinger (lake o&#39 the pinext)","us","changing"
"42327",NA,"avon","us","changing"
"62942",NA,"avon-by-the-sea","us","changing"
"83972",NA,"avon lake","us","changing"
"80308",0008-08-20,"aztalan state park",NA,"changing"
"52590",0006-01-19,"baadon",NA,"changing"
"5503",NA,"bagheria (italy)",NA,"changing"
"78875",0008-03-19,"bagsv&aelig;rd (denmark)",NA,"changing"
"44571",0004-03-20,"bahamas",NA,"changing"
"37570",NA,"baie d&#39urfe (canada)",NA,"changing"
"13985",NA,"bainbridge island",NA,"changing"
"2519",NA,"baker/stateline (between)",NA,"changing"
