"","datetime","city","country","shape"
"57797",NA,"airdrie (uk/scotland)","gb","disk"
"23961",NA,"aldershot (uk/england)","gb","disk"
"25570",NA,"basingstoke (uk/england)","gb","disk"
"70548",0007-07-20,"bath (uk/england)","gb","disk"
"74245",NA,"benfleet (thames estuary) (uk/england)","gb","disk"
"55205",NA,"birmingham (uk/england)","gb","disk"
"65996",NA,"birmingham (uk/england)","gb","disk"
"17095",NA,"blackpool (uk/england)","gb","disk"
"26158",0012-08-20,"blackpool (uk/england)","gb","disk"
"83197",NA,"blackpool (uk/england)","gb","disk"
"42443",NA,"bridgend (uk/wales)","gb","disk"
"21840",0012-02-20,"bridgewater (uk/england)","gb","disk"
"18929",0012-10-20,"bristol (uk/england)","gb","disk"
"38588",0003-04-20,"canterbury (near)&#44 dover&#44 kent (uk/england)","gb","disk"
"15125",NA,"canterbury (uk/england)","gb","disk"
"52485",0006-01-19,"canterbury (uk/england)","gb","disk"
"22",0010-10-19,"cardiff (uk/wales)","gb","disk"
"10296",NA,"cardiff (uk/wales)","gb","disk"
"32917",0002-06-20,"carlisle (uk/england)","gb","disk"
"54177",NA,"caversham (reading) (uk/england)","gb","disk"
"86940",NA,"craigavon (uk/northern ireland)","gb","disk"
"33306",0002-08-20,"darlington (uk/england)","gb","disk"
"78883",0008-03-19,"darvel (uk/scotland)","gb","disk"
"87981",0009-05-20,"derby (uk/england)","gb","disk"
"14689",NA,"dunstable (uk/england)","gb","disk"
"35430",NA,"dunstable (uk/england)","gb","disk"
"64598",NA,"edinburgh (uk/scotland)","gb","disk"
"12318",0001-01-20,"ellesmere port (uk/england)","gb","disk"
"45192",0004-07-20,"eynsham (uk/england)","gb","disk"
"39713",0004-10-20,"fleetwood (uk/england)","gb","disk"
"27415",0001-05-19,"folkestone (uk/england)","gb","disk"
"58949",NA,"gateshead (uk/england)","gb","disk"
"28996",0002-12-20,"glasgow (uk/scotland)","gb","disk"
"50568",0005-04-20,"glasgow (uk/scotland)","gb","disk"
"55670",NA,"glasgow (uk/scotland)","gb","disk"
"61248",0007-11-20,"gosport (uk/england)","gb","disk"
"33645",0003-10-20,"great yarmouth (uk/england)","gb","disk"
"50821",0005-05-20,"hampshire (uk/england)","gb","disk"
"43270",NA,"harrogate (uk/england)","gb","disk"
"62387",NA,"hartlepool (uk/england)","gb","disk"
"74351",NA,"hemel hempstead (uk/england)","gb","disk"
